Timestamp,IMU1_Val1,IMU1_Val2,IMU1_Val3,IMU1_Val4,IMU1_Val5,IMU1_Val6,IMU1_Val7,IMU2_Val1,IMU2_Val2,IMU2_Val3,IMU2_Val4,IMU2_Val5,IMU2_Val6,IMU2_Val7,IMU3_Val1,IMU3_Val2,IMU3_Val3,IMU3_Val4,IMU3_Val5,IMU3_Val6,IMU3_Val7,IMU4_Val1,IMU4_Val2,IMU4_Val3,IMU4_Val4,IMU4_Val5,IMU4_Val6,IMU4_Val7,IMU5_Val1,IMU5_Val2,IMU5_Val3,IMU5_Val4,IMU5_Val5,IMU5_Val6,IMU5_Val7,IMU6_Val1,IMU6_Val2,IMU6_Val3,IMU6_Val4,IMU6_Val5,IMU6_Val6,IMU6_Val7
1745408183.545388,2.141468,-2.046112,179.857986,0.000000,7555.885742,83.756905,634757.625000,0.697225,-3.655070,179.840332,0.000000,2459.891357,47.630020,634812.750000,-16.178591,-104.791115,317.690216,0.000000,-100841.867188,-33265.558594,2195629.500000,-4.790358,-71.317787,238.367477,0.000000,-22403.613281,-6705.143555,1214573.250000,18.124304,-85.626419,248.373047,0.000000,88320.679688,30446.287109,1354183.125000,-5.560894,-80.317490,78.439354,0.000000,-8557.870117,-8765.399414,247273.843750
1745408183.545395,2.000804,-2.256087,179.903854,0.000000,7061.251953,86.376640,635099.125000,0.799715,-3.807238,179.698914,0.000000,2819.347168,57.396172,633837.500000,-16.122446,-104.850746,317.920532,0.000000,-100564.890625,-33169.035156,2198746.750000,-4.795328,-71.340904,238.434647,0.000000,-22433.228516,-6714.308594,1215266.125000,18.084929,-85.622162,248.434662,0.000000,88150.625000,30378.626953,1354769.375000,-5.529864,-80.391830,78.527679,0.000000,-8519.697266,-8724.590820,247780.265625
1745408183.626165,1.842992,-2.472747,179.978912,0.000000,6506.851562,87.224350,635649.187500,0.967817,-3.983739,179.593842,0.000000,3410.051025,73.338043,633123.812500,-16.101385,-104.954483,318.100952,0.000000,-100490.460938,-33158.441406,2201425.250000,-4.825512,-71.393959,238.504501,0.000000,-22580.949219,-6761.573242,1216068.500000,18.043812,-85.578629,248.520828,0.000000,87980.718750,30294.109375,1355463.375000,-5.622407,-80.399979,78.614464,0.000000,-8671.828125,-8871.453125,248073.546875
1745408183.626572,1.690243,-2.701629,180.034729,0.000000,5969.223633,87.411171,636066.687500,1.053115,-4.272480,179.451538,0.000000,3707.697510,86.006958,632168.125000,-16.081518,-105.061157,318.220001,0.000000,-100404.093750,-33151.160156,2203351.000000,-4.867614,-71.474953,238.592072,0.000000,-22786.238281,-6828.301758,1217115.000000,17.991865,-85.498146,248.668686,0.000000,87779.570312,30178.513672,1356635.750000,-5.713149,-80.434570,78.716194,0.000000,-8823.192383,-9018.420898,248496.703125
1745408183.628132,1.557588,-2.926390,180.104874,0.000000,5502.713867,87.272232,636587.187500,1.071323,-4.351570,179.294235,0.000000,3768.486572,89.178879,631074.312500,-16.085657,-105.163826,318.261108,0.000000,-100442.843750,-33192.058594,2204288.000000,-4.903078,-71.574783,238.695435,0.000000,-22962.101562,-6887.668945,1218362.875000,17.908335,-85.380959,248.851990,0.000000,87436.421875,29997.208984,1358032.250000,-5.807774,-80.345528,78.819778,0.000000,-8981.137695,-9157.597656,248536.000000
1745408183.671727,1.461080,-3.129966,180.188934,0.000000,5164.039062,87.578941,637205.625000,1.117174,-4.408685,179.221924,0.000000,3928.158203,94.325058,630575.375000,-16.105120,-105.270897,318.274750,0.000000,-100568.640625,-33266.011719,2204900.500000,-4.956175,-71.789703,238.811737,0.000000,-23221.953125,-6983.163574,1220056.750000,17.812906,-85.185272,249.062378,0.000000,87043.937500,29768.960938,1359432.875000,-5.843140,-80.225555,78.930832,0.000000,-9048.575195,-9199.571289,248501.781250
1745408183.671885,1.419773,-3.325618,180.275635,0.000000,5020.379395,90.499527,637843.562500,1.168570,-4.459015,179.176453,0.000000,4107.842773,99.910378,630264.375000,-16.176960,-105.416100,318.343567,0.000000,-101039.015625,-33460.453125,2206360.250000,-5.065376,-71.978279,238.935455,0.000000,-23745.769531,-7155.761719,1221748.250000,17.828485,-84.976898,249.252014,0.000000,87186.289062,29722.091797,1360591.375000,-5.855220,-80.094589,79.053345,0.000000,-9081.365234,-9203.548828,248469.578125
1745408183.672387,1.391054,-3.552433,180.338211,0.000000,4920.503906,94.830338,638316.937500,1.208382,-4.517551,179.144333,0.000000,4247.046875,104.738045,630048.875000,-16.238565,-105.569237,318.459869,0.000000,-101460.835938,-33636.632812,2208447.250000,-5.141944,-72.115471,239.070160,0.000000,-24118.251953,-7277.783203,1223399.375000,17.850710,-84.835953,249.381897,0.000000,87340.398438,29709.750000,1361392.500000,-5.838607,-79.990845,79.188354,0.000000,-9071.087891,-9165.581055,248562.921875
1745408183.717984,1.444395,-3.736203,180.374329,0.000000,5110.284668,103.861351,638598.750000,1.241701,-4.611833,179.113922,0.000000,4363.434082,109.930733,629852.000000,-16.248692,-105.737579,318.630554,0.000000,-101578.507812,-33711.312500,2211278.750000,-5.185038,-72.183022,239.175888,0.000000,-24331.113281,-7345.623047,1224582.625000,17.848295,-84.744507,249.558884,0.000000,87390.562500,29673.744141,1362820.750000,-5.831399,-79.915344,79.339531,0.000000,-9077.182617,-9145.641602,248796.265625
1745408183.718019,1.555851,-3.858771,180.390350,0.000000,5505.229980,115.757500,638730.375000,1.291899,-4.727166,179.086121,0.000000,4539.166016,117.345909,629677.687500,-16.206442,-105.910004,318.823517,0.000000,-101375.742188,-33678.535156,2214408.000000,-5.192019,-72.200706,239.254227,0.000000,-24371.900391,-7357.300781,1225368.250000,17.863859,-84.684654,249.697479,0.000000,87515.242188,29678.720703,1363979.500000,-5.799062,-79.992218,79.518814,0.000000,-9047.226562,-9103.719727,249596.203125
